기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2019	합계	103,668	74,805	136	128	136	133	6,469	6,007	42,204	21,284	54,723	47,253
2019	종로구	3,846	4,117	4	5	7	8	238	1,143	1,515	1,069	2,082	1,892
2019	중구	4,327	2,804	2	1	6	5	195	115	2,202	1,050	1,922	1,633
2019	용산구	3,313	2,611	3	3	3	4	272	237	999	544	2,036	1,823
2019	성동구	2,512	1,838	6	5	9	10	133	96	970	511	1,394	1,216
2019	광진구	4,011	2,816	4	5	6	5	273	213	1,875	1,008	1,853	1,585
2019	동대문구	3,692	2,818	6	6	10	9	168	143	1,531	827	1,977	1,833
2019	중랑구	4,268	3,138	10	10	4	5	138	108	1,666	908	2,450	2,107
2019	성북구	2,877	2,323	3	3	3	3	176	130	1,082	731	1,613	1,456
2019	강북구	3,838	3,023	6	6	3	2	176	145	1,229	664	2,424	2,206
2019	도봉구	2,110	1,497	1	1	5	5	90	83	790	394	1,224	1,014
2019	노원구	4,153	2,964	4	4	3	3	184	158	1,498	681	2,464	2,118
2019	은평구	3,880	3,000	3	3	1	1	194	162	1,565	977	2,117	1,857
2019	서대문구	2,943	2,020	2	1	5	5	175	154	1,226	600	1,535	1,260
2019	마포구	4,842	3,170	2	2	2	2	495	417	2,190	917	2,153	1,832
2019	양천구	3,214	2,124	6	6	2	2	127	112	1,477	634	1,602	1,370
2019	강서구	4,924	3,543	8	9	3	4	306	257	2,050	1,077	2,557	2,196
2019	구로구	4,707	3,291	10	9	3	4	226	165	1,916	965	2,552	2,148
2019	금천구	3,105	2,343	6	6	10	6	153	126	1,157	615	1,779	1,590
2019	영등포구	5,820	3,787	10	10	3	3	356	239	2,409	1,068	3,042	2,467
2019	동작구	3,400	2,195	4	2	1	1	251	110	1,328	579	1,816	1,503
2019	관악구	5,328	3,810	13	10	10	11	408	335	2,223	1,085	2,674	2,369
2019	서초구	5,542	3,750	5	5	7	5	616	412	2,270	1,118	2,644	2,210
2019	강남구	7,304	5,069	5	3	5	6	666	562	2,970	1,339	3,658	3,159
2019	송파구	5,698	3,799	7	8	10	10	273	230	2,416	1,016	2,992	2,535
2019	강동구	4,014	2,955	6	5	15	14	180	155	1,650	907	2,163	1,874